index,cover,digital_message,analog_message,digital_fsk,analog_fm,digital_ask,analog_am,digital_psk,analog_pm
237,-0.9238795325,1,-0.6425660252,-0.0980171403,-0.1693684580,-0.9238795325,-0.6270527330,0.9238795325,-0.8158254023
238,-0.7071067812,1,-0.6184083627,-0.5555702330,0.1610931295,-0.7071067812,-0.4884664078,0.7071067812,-0.9827526594
239,-0.3826834324,1,-0.5927609003,-0.8819212643,0.4761779041,-0.3826834324,-0.2692635444,0.3826834324,-0.9696525705
240,-0.0000000000,0,-0.5656854249,1.0000000000,0.7402661274,-0.0000000000,-0.0000000000,-0.0000000000,-0.7761750478
241,0.3826834324,0,-0.5372471639,0.9569403357,0.9220799451,0.1339392013,0.2798856380,0.3826834324,-0.4360518676
242,0.7071067812,0,-0.5075146273,0.8314696123,0.9985151716,0.2474873734,0.5276732639,0.7071067812,-0.0118036749
243,0.9238795325,0,-0.4765594436,0.6343932842,0.9578392520,0.3233578364,0.7037377745,0.9238795325,0.4164339250
244,1.0000000000,0,-0.4444561864,0.3826834324,0.8018111851,0.3500000000,0.7777719068,1.0000000000,0.7660325873
245,0.9238795325,0,-0.4112821954,0.0980171403,0.5463485909,0.3233578364,0.7338919313,0.9238795325,0.9680803187
246,0.7071067812,0,-0.3771173895,-0.1950903220,0.2204957968,0.2474873734,0.5737756495,0.7071067812,0.9814287224
247,0.3826834324,0,-0.3420440747,-0.4713967368,-0.1363699841,0.1339392013,0.3172361321,0.3826834324,0.8016083774
248,0.0000000000,0,-0.3061467459,-0.7071067812,-0.4789335166,0.0000000000,0.0000000000,0.0000000000,0.4625721274
249,-0.3826834324,0,-0.2695118827,-0.8819212643,-0.7615356731,-0.1339392013,-0.3311145662,-0.3826834324,0.0306443954
250,-0.7071067812,0,-0.2322277418,-0.9807852804,-0.9443389754,-0.2474873734,-0.6250018757,-0.7071067812,-0.4083225460
251,-0.9238795325,0,-0.1943841439,-0.9951847267,-0.9992628660,-0.3233578364,-0.8340857665,-0.9238795325,-0.7661053244
252,-1.0000000000,0,-0.1560722576,-0.9238795325,-0.9148034602,-0.3500000000,-0.9219638712,-1.0000000000,-0.9700990547
253,-0.9238795325,0,-0.1173843796,-0.7730104534,-0.6988912744,-0.3233578364,-0.8696550197,-0.9238795325,-0.9783813747
254,-0.7071067812,0,-0.0784137123,-0.5555702330,-0.3791201838,-0.2474873734,-0.6793833473,-0.7071067812,-0.7886253591
255,-0.3826834324,0,-0.0392541395,-0.2902846773,-0.0000000000,-0.1339392013,-0.3751724780,-0.3826834324,-0.4388867435
