index,cover,digital_message,analog_message,digital_fsk,analog_fm,digital_ask,analog_am,digital_psk,analog_pm
102,0.7071067812,1,-0.7655522686,-0.1950903220,-0.6480631144,0.7071067812,0.4364431810,-0.7071067812,0.9142560470
103,0.3826834324,1,-0.7532352521,0.2902846773,-0.8540848486,0.3826834324,0.2385581065,-0.3826834324,0.9999870871
104,-0.0000000000,1,-0.7391036260,0.7071067812,-0.9743752529,-0.0000000000,-0.0000000000,0.0000000000,0.9171945236
105,-0.3826834324,1,-0.7231914345,0.9569403357,-0.9955069861,-0.3826834324,-0.2443067422,0.3826834324,0.6767118811
106,-0.7071067812,1,-0.7055370115,0.9807852804,-0.9137957052,-0.7071067812,-0.4576617786,0.7071067812,0.3172770326
107,-0.9238795325,1,-0.6861828880,0.7730104534,-0.7360386627,-0.9238795325,-0.6069043696,0.9238795325,-0.1000758814
108,-1.0000000000,1,-0.6651756898,0.3826834324,-0.4792536493,-1.0000000000,-0.6674121551,1.0000000000,-0.5020268765
109,-0.9238795325,1,-0.6425660252,-0.0980171403,-0.1693684580,-0.9238795325,-0.6270527330,0.9238795325,-0.8158254023
110,-0.7071067812,1,-0.6184083627,-0.5555702330,0.1610931295,-0.7071067812,-0.4884664078,0.7071067812,-0.9827526594
111,-0.3826834324,1,-0.5927609003,-0.8819212643,0.4761779041,-0.3826834324,-0.2692635444,0.3826834324,-0.9696525705
112,-0.0000000000,0,-0.5656854249,1.0000000000,0.7402661274,-0.0000000000,-0.0000000000,-0.0000000000,-0.7761750478
113,0.3826834324,0,-0.5372471639,0.9569403357,0.9220799451,0.1339392013,0.2798856380,0.3826834324,-0.4360518676
114,0.7071067812,0,-0.5075146273,0.8314696123,0.9985151716,0.2474873734,0.5276732639,0.7071067812,-0.0118036749
115,0.9238795325,0,-0.4765594436,0.6343932842,0.9578392520,0.3233578364,0.7037377745,0.9238795325,0.4164339250
116,1.0000000000,0,-0.4444561864,0.3826834324,0.8018111851,0.3500000000,0.7777719068,1.0000000000,0.7660325873
117,0.9238795325,0,-0.4112821954,0.0980171403,0.5463485909,0.3233578364,0.7338919313,0.9238795325,0.9680803187
118,0.7071067812,0,-0.3771173895,-0.1950903220,0.2204957968,0.2474873734,0.5737756495,0.7071067812,0.9814287224
119,0.3826834324,0,-0.3420440747,-0.4713967368,-0.1363699841,0.1339392013,0.3172361321,0.3826834324,0.8016083774
120,0.0000000000,0,-0.3061467459,-0.7071067812,-0.4789335166,0.0000000000,0.0000000000,0.0000000000,0.4625721274
121,-0.3826834324,0,-0.2695118827,-0.8819212643,-0.7615356731,-0.1339392013,-0.3311145662,-0.3826834324,0.0306443954
122,-0.7071067812,0,-0.2322277418,-0.9807852804,-0.9443389754,-0.2474873734,-0.6250018757,-0.7071067812,-0.4083225460
123,-0.9238795325,0,-0.1943841439,-0.9951847267,-0.9992628660,-0.3233578364,-0.8340857665,-0.9238795325,-0.7661053244
124,-1.0000000000,0,-0.1560722576,-0.9238795325,-0.9148034602,-0.3500000000,-0.9219638712,-1.0000000000,-0.9700990547
125,-0.9238795325,0,-0.1173843796,-0.7730104534,-0.6988912744,-0.3233578364,-0.8696550197,-0.9238795325,-0.9783813747
126,-0.7071067812,0,-0.0784137123,-0.5555702330,-0.3791201838,-0.2474873734,-0.6793833473,-0.7071067812,-0.7886253591
127,-0.3826834324,0,-0.0392541395,-0.2902846773,0.0000000000,-0.1339392013,-0.3751724780,-0.3826834324,-0.4388867435
128,-0.0000000000,1,-0.0000000000,-0.0000000000,0.3826834324,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
129,0.3826834324,1,0.0392541395,0.4713967368,0.7098265478,0.3826834324,0.3901943868,-0.3826834324,0.4388867435
130,0.7071067812,1,0.0784137123,0.8314696123,0.9282385540,0.7071067812,0.7348302150,-0.7071067812,0.7886253591
131,0.9238795325,1,0.1173843796,0.9951847267,0.9997337563,0.9238795325,0.9781040454,-0.9238795325,0.9783813747
132,1.0000000000,1,0.1560722576,0.9238795325,0.9085076287,1.0000000000,1.0780361288,-1.0000000000,0.9700990547
133,0.9238795325,1,0.1943841439,0.6343932842,0.6653152354,0.9238795325,1.0136732985,-0.9238795325,0.7661053244
134,0.7071067812,1,0.2322277418,0.1950903220,0.3073604858,0.7071067812,0.7892116867,-0.7071067812,0.4083225460
135,0.3826834324,1,0.2695118827,-0.2902846773,-0.1065377724,0.3826834324,0.4342522985,-0.3826834324,-0.0306443954
136,-0.0000000000,1,0.3061467459,-0.7071067812,-0.5050978321,-0.0000000000,-0.0000000000,0.0000000000,-0.4625721274
137,-0.3826834324,1,0.3420440747,-0.9569403357,-0.8167608515,-0.3826834324,-0.4481307326,0.3826834324,-0.8016083774
138,-0.7071067812,1,0.3771173895,-0.9807852804,-0.9828811449,-0.7071067812,-0.8404379129,0.7071067812,-0.9814287224
139,-0.9238795325,1,0.4112821954,-0.7730104534,-0.9694599372,-0.9238795325,-1.1138671337,0.9238795325,-0.9680803187
140,-1.0000000000,1,0.4444561864,-0.3826834324,-0.7749813472,-1.0000000000,-1.2222280932,1.0000000000,-0.7660325873
141,-0.9238795325,1,0.4765594436,0.0980171403,-0.4324429267,-0.9238795325,-1.1440212905,0.9238795325,-0.4164339250
142,-0.7071067812,1,0.5075146273,0.5555702330,-0.0046761533,-0.7071067812,-0.8865402985,0.7071067812,0.0118036749
143,-0.3826834324,1,0.5372471639,0.8819212643,0.4266333099,-0.3826834324,-0.4854812267,0.3826834324,0.4360518676
